name,icon,cover,restype,tags,devices,path
澎湃哔哩,https://raw.githubusercontent.com/Searchstars/Hyperbilibili_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/Searchstars/Hyperbilibili_AstroBox_Release/refs/heads/main/preview.png,quickapp,"客户端;实用工具;视频;社区;互动;在线;哔哩哔哩;B站;b站","n62;o62;o65m;n67",searchstars/hyperbili.json
实时公交,https://raw.githubusercontent.com/Searchstars/RealTimeBus_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/Searchstars/RealTimeBus_AstroBox_Release/refs/heads/main/preview.png,quickapp,"实用工具;传感器;导航","o62",rtbus/rtbus.json
Starfield Chronomark,https://raw.githubusercontent.com/Searchstars/StarfieldWatchFace_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/Searchstars/StarfieldWatchFace_AstroBox_Release/refs/heads/main/preview.png,watchface,"复刻;Starfield;星空;表盘;简约","n62;o62",searchstars/starfield_watchface.json
木鱼Pro,https://raw.githubusercontent.com/wuhaiqi0621/muyuPro_ForAstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/wuhaiqi0621/muyuPro_ForAstroBox/refs/heads/main/head.png,quickapp,"实用工具;木鱼;游戏","n66;n67;o66;o66nfc",charlie_q/muyuPro.json
Hyper Box,https://raw.githubusercontent.com/wuhaiqi0621/HyperBox_ForAstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/wuhaiqi0621/HyperBox_ForAstroBox/refs/heads/main/head.png,quickapp,"实用工具;工具箱;计算器;水平仪;每日一言;歌词本;答案之书;木鱼;性能测试;摩斯密码;二维码;跑马灯;荧光棒","n66;n67;o66;o66nfc",charlie_q/hyperbox.json
倒数日 快应用,https://raw.githubusercontent.com/sf-yuzifu/Daymatter_Quickapp_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/sf-yuzifu/Daymatter_Quickapp_AstroBox_Release/refs/heads/main/preview.png,quickapp,"实用工具;日历;倒数日;倒计时;备忘录;提醒;日程","n66;n67;o66;o66nfc",sf_yuzifu/daymatter_quickapp.json
倒数日 表盘,https://raw.githubusercontent.com/sf-yuzifu/Daymatter_Watchface_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/sf-yuzifu/Daymatter_Watchface_AstroBox_Release/refs/heads/main/preview.png,watchface,"实用工具;日历;倒数日;倒计时;备忘录;提醒;日程;表盘","n66;n67;o66;o66nfc",sf_yuzifu/daymatter_watchface.json
狂欢烟火大师赛,https://raw.githubusercontent.com/sf-yuzifu/FireworkMaster_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/sf-yuzifu/FireworkMaster_AstroBox_Release/refs/heads/main/preview.png,quickapp,"游戏;休闲;烟花;明日方舟","n66;n67;o65;o65m;o66;o66nfc",sf_yuzifu/firework_master.json
喵喵电子书,https://raw.githubusercontent.com/NEORUAA/MiaoReader_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/NEORUAA/MiaoReader_AstroBox_Release/refs/heads/main/cover.png,quickapp,"实用工具;电子书;阅读;小说","o66;o66nfc;n67",neoruaa/miao_reader.json
跃界,https://raw.githubusercontent.com/aurysian-yan/leap-n67-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/aurysian-yan/leap-n67-astrobox/refs/heads/main/cover.png,watchface,"景深;壁纸;表盘;数据展示","n67",aurysian_yan/leap.json
我的世界,https://raw.githubusercontent.com/DDguan2010/vela-minecraft/refs/heads/main/icon.png,https://raw.githubusercontent.com/DDguan2010/vela-minecraft/refs/heads/main/preview0.png,quickapp,"游戏;我的世界;开放世界;休闲","o66;o66nfc;n66;n67",02studio/minecraft.json
BandTwine,https://raw.githubusercontent.com/OrPudding/BandTwine_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/OrPudding/BandTwine_AstroBox_Release/refs/heads/main/cover.png,quickapp,"游戏;互动小说,文字游戏,实用工具;游戏引擎","n62;n66;n67;o62;o66;o66nfc",orpudding/bandtwine.json
realive 3(试用),https://raw.githubusercontent.com/CoraTech-Wear/realive-3-Watchface/refs/heads/main/icon.png,https://raw.githubusercontent.com/CoraTech-Wear/realive-3-Watchface/refs/heads/main/cover.png,watchface,"表盘;多功能;数据展示;双时区;时间壁纸","o66;o66nfc",coratech/realive3_trial.json
水平仪,https://raw.githubusercontent.com/leset0ng/lstReleaseForAstroBox/refs/heads/main/logo.png,https://raw.githubusercontent.com/leset0ng/lstReleaseForAstroBox/refs/heads/main/cover.png,quickapp,"实用工具;水平仪;工具","n66;n67;o66;o66nfc;n62;o62;o63;o65",leset0ng/bandtoollevel.json
SekaiUI 初音未来表盘,https://raw.githubusercontent.com/SmallK111407/SekaiUI_AstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/SmallK111407/SekaiUI_AstroBox/refs/heads/main/%E5%A4%B4%E5%9B%BE.png,watchface,"表盘;世界计划;初音未来;数据展示;丰富样式","n67;n65;o65;o65m",smallk111407/SekaiUI_WatchFace.json
焕芯,https://raw.githubusercontent.com/ChiHuan08/HuanXin_AstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/ChiHuan08/HuanXin_AstroBox/refs/heads/main/%E5%A4%B4%E5%9B%BE.png,watchface,"表盘;编辑控件;拼色;简约","n67",ChiHuan08/huanxin_watchface.json
环间图库,https://raw.githubusercontent.com/NEORUAA/BandAlbum_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/NEORUAA/BandAlbum_AstroBox_Release/refs/heads/main/cover.png,quickapp,实用工具;图库;相册;图片,o62;n62;o63;o62m;o66;o66nfc;n66;n67,neoruaa/band_album.json
设备详细信息,https://cdn.jsdelivr.net/gh/Internet1235/DeviceInfo_AstroBox_Release@main/icon.svg, https://cdn.jsdelivr.net/gh/Internet1235/DeviceInfo_AstroBox_Release@main/cover.svg, quickapp,"实用工具;设备信息;系统信息","n66;o66;o66nfc",Internet1235/deviceinfo.json
澄序课程表,https://raw.githubusercontent.com/waterflames-team/clartime-velaapp-astroinfo/heads/main/logo.png,https://raw.githubusercontent.com/waterflames-team/clartime-velaapp-astroinfo/heads/main/cover.png,quickapp,"实用工具;课程表;简约;美观","n67",WaterFlames/clartime.json
OK School Life,https://raw.githubusercontent.com/CheongSzesuen/OKSchoolLife_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/CheongSzesuen/OKSchoolLife_AstroBox_Release/refs/heads/main/welcome-v4.png,quickapp,"游戏;文字游戏;移植;校园模拟;学校;校园",n67;n66;o66,WaiJade/OK-School-Life.json
playball,https://raw.githubusercontent.com/zyhsck/my_astrobox_ball/refs/heads/main/logo.png,https://raw.githubusercontent.com/zyhsck/my_astrobox_ball/refs/heads/main/cover.png,quickapp,游戏,"o65;o65m",mizuki/playball.json
